"t","sp","emmean","SE","df","lower.CL","upper.CL",".group"
"1","e",0.510104166666667,0.204538195663586,7.81523285486882,0.0364901765473098,0.983718156786024," a    "
"1","c",0.519635416666666,0.204538195663586,7.81523289530941,0.0460214269853556,0.993249406347976," a    "
"1","u",0.595624999999999,0.204538195663586,7.8152328817695,0.122011010172027,1.06923898982797," ab   "
"6","c",1.8375,0.422144892009822,19.4232007080707,0.955241767887772,2.71975823211223," abcd "
"4","c",1.91145833333333,0.192573935357966,5.85119564965963,1.43732673463693,2.38558993202974," abc  "
"2","c",2.01515625,0.286252969925686,22.994031989114,1.42298836073525,2.60732413926474,"  bc  "
"3","c",2.034375,0.236744639390788,14.6111542956466,1.5285935867803,2.5401564132197,"   c  "
"5","c",2.16875,0.307719328350664,23.9618074912949,1.53359494765007,2.80390505234993,"   cd "
"2","e",2.95666666666667,0.286252969925686,22.9940320101131,2.36449877743185,3.54883455590148,"   cde"
"6","u",3.05416666666667,0.422144892009822,19.423200671464,2.17190843444449,3.93642489888884,"   cde"
"5","u",3.14375,0.307719328350665,23.9618074917468,2.5085949476507,3.7789050523493,"   cde"
"2","u",3.18375,0.286252969925686,22.9940320478983,2.59158211081905,3.77591788918095,"   cde"
"4","u",3.425,0.192573935357965,5.85119565740493,2.95086840146028,3.89913159853972,"    de"
"3","u",3.5,0.236744639390788,14.6111542937876,2.99421858677454,4.00578141322546,"    de"
"6","e",3.71041666666667,0.422144892009822,19.4232006880562,2.82815843449433,4.59267489883901,"   cde"
"3","e",3.87916666666667,0.236744639390788,14.6111542912453,3.37338525343332,4.38494807990002,"     e"
"5","e",4.17083333333333,0.307719328350664,23.9618075345258,3.53567828104414,4.80598838562252,"     e"
"4","e",4.35833333333333,0.192573935357965,5.851195681266,3.88420173527629,4.83246493139037,"     e"
